 
				
					
					
				Nombre;Descripción del conjunto de datos;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Última actualización de los metadatos:;Frecuencia de actualización:;Editor:;Licencia:;Lugar:;Formatos
Farmacias de guardia;" Relación de Farmacias de Guardia ubicadas en la ciudad de Madrid durante el mes indicado.  Esta información la ha proporcionado  el Colegio Oficial de Farmacéuticos de Madrid .  Mes a mes, se irá actualizando la misma. ";salud;;04/05/2015;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,
Alojamientos de la ciudad de Madrid;" Información de hoteles, albergues, apartahoteles, campings, hostales, pensiones y residencias universitarias de la ciudad de Madrid en nueve idiomas.   La selección está realizada por el equipo de gestión del portal de promoción turística de la ciudad de Madrid esmadrid.com.    IMPORTANTE: Este conjunto de datos tiene unas condiciones de uso especificas y un poco diferentes al resto de conjuntos de datos del portal. Por favor, revise las mismas. (Los textos son de libre uso pero no así las fotografías).  ";turismo;;16/04/2015;;diaria;Ayuntamiento de Madrid;http://datos.madrid.es/portal/site/egob/menuitem.d3089948cb18b1bb68d8a521ecd08a0c/?vgnextoid=748eb054f9edb410VgnVCM1000000b205a0aRCRD&amp;vgnextchannel=b4c412b9ace9f310VgnVCM100000171f5a0aRCRD;Madrid,;xml,
Tráfico Calle 30: Estimaciones de tráfico entre entradas y salidas (WEBSERVICE);"  Webservice con  estimaciones de duración de trayectos entre las diferentes entradas y salidas de Calle 30. Los datos que se pueden ver para cada estimación son los siguientes: &bull; Entrada. &bull; Salida. &bull; Distancia recorrida. &bull; Estimación realizada con el tráfico actual. &bull; Estimación realizada con datos históricos o tráfico habitual. &bull; Estimaciones futuras para dentro de 15, 30, 45 y 60 minutos.   Importante:   Se trata de un conjunto de datos que se ha publicado aunque está en pruebas, y que es susceptible de  no estar operativo permanentemente  e incluso cabe la opción de  suprimirse  dicho conjunto de datos si presentase problemas de rendimiento.  Existe en el portal otro conjunto de datos, con esta misma información, proporcionando en cada momento una tabla en XML, con las principales combinaciones y adicionalmente con la tabla de entradas y salidas de Calle 30. Es el conjunto llamado:   &quot;Tráfico Calle 30: Estimaciones de tráfico entre las diferentes entradas y salidas&quot;  ";transporte;;16/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,
Monumentos de la ciudad de Madrid;" Se presenta la relación de los monumentos de la ciudad adscritos al contrato de mantenimiento de la Dirección General de Patrimonio Cultural y Calidad del Paisaje Urbano.   No se trata de una relación exhaustiva de todos los monumentos de la Ciudad de Madrid.  El Ayuntamiento dispone de la web  monumentamadrid.es , donde se recoge recoge una información más amplia de monumentos y edificios históricos, analizados por un amplio equipo de historiadores, documentalistas, restauradores y arquitectos.  Los tipos de monumentos incluidos son: estatuas, grupos escultóricos, fuentes y estanques ornamentales, fuentes monumentales, puertas y arcos triunfales, lápidas y placas conmemorativas, laminas de agua y estanque simples y otros varios. ";cultura-ocio;;16/04/2015;;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Cartografía municipal por distritos a escala 1:5000, formato SHP, ETRS89;"  Descripción : Se presenta en este conjunto de datos la cartografía municipal a escala 1:5000, en formato SHP, sistema geodésico de referencia ETRS-89, en 2D.  La información cartográfica está actualizada conforme al vuelo fotogramétrico municipal del año 2010.  Las direcciones y rotulación de viario se actualizan mensualmente. El fichero de rotulación comprende todo el término municipal.  La estructura de la información se detalla en el fichero descargable &quot;CM 5000 Catálogo de elementos formato GIS.csv&quot;. ";urbanismo-infraestructuras;;09/04/2015;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,shp,
Callejero oficial del Ayuntamiento de Madrid;" Se presentan en este conjunto de datos, seis ficheros con información relativa a los viales, sus denominaciones, sus datos administrativos y las direcciones de la ciudad (números de policía), procedentes del callejero oficial del Ayuntamiento de Madrid.  Todos los ficheros incluidos en este conjunto de datos provienen de extracciones diarias de la base de datos del callejero oficial del Ayuntamiento de Madrid.  Incluyen información tanto vigente como histórica. La información histórica del callejero municipal que se muestra no es completa ya que no está totalmente informatizada. Para ampliar información sobre cualquier dirección o topónimo, puede dirigir una consulta a  callejero@madrid.es .  La descripción detallada del contenido de los ficheros y la documentación de los mismos se puede consultar en el enlace de &quot;Documentación asociada&quot;. ";urbanismo-infraestructuras;Urbanismo e infraestructuras,;09/04/2015;10/04/2015 00:00;diaria;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,
Cartografía municipal por distritos a escala 1:1000, formato SHP, ETRS89;"  Descripción : Se presenta en este conjunto de datos la cartografía municipal a escala 1:1000, en formato SHP, sistema geodésico de referencia ETRS-89, en 2D.  La información cartográfica está actualizada conforme al vuelo fotogramétrico municipal del año 2010.  Las direcciones y rotulación de viario se actualizan mensualmente. El fichero de rotulación comprende todo el término municipal.  La estructura de la información se detalla en el fichero descargable &quot;CM 1000 Catálogo de elementos formato GIS.csv&quot;. ";urbanismo-infraestructuras;;09/04/2015;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,shp,
Cartografía municipal por distritos a escala 1:20000, formato SHP, ETRS89;"  Descripción : Se presenta en este conjunto de datos la cartografía municipal a escala 1:20000, en formato SHP, sistema geodésico de referencia ETRS-89, en 2D.  La información cartográfica está actualizada conforme al vuelo fotogramétrico municipal del año 2010.  La rotulación de viario se actualiza mensualmente. El fichero de rotulación comprende todo el término municipal.  La estructura de la información se detalla en el fichero descargable &quot;CM 20000 Catálogo de elementos formato GIS.csv&quot;. ";urbanismo-infraestructuras;;09/04/2015;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,shp,
Presupuestos municipales: Ejecución presupuestaria 2015;" Ejecución presupuestaria de los Presupuestos Municipales de 2015.  Incluye la Información de:  - 001 Ayuntamiento de Madrid  - 501 OO.AA. I.A.M. (Informática del Ayuntamiento de Madrid) - 503 OO.AA. Agencia para el empleo de Madrid - 506 OO.AA. Agencia Tributaria de Madrid - 508 OO.AA. Madrid Salud - 509 OO.AA. Agencia de actividades  Esta información se actualiza mensualmente sobre el día 15 del mes, obteniéndose en ese momento la información de dos meses antes (por ejemplo, sobre el 15 de Marzo, se obtendría los datos del mes de enero completo). La información del ultimo mes mostrado,  consolida la información de los meses anteriores , es decir, la ejecución presupuestaria de noviembre, por ejemplo, recoge la ejecución de los primeros once meses del año, y no solo los datos de noviembre.  El nivel de granularidad con que se presentan el presupuesto y su ejecución mensual supone que los ciudadanos y las instituciones interesadas tienen toda la información necesaria para un estudio detallado.  Existen en el Portal de Datos Abiertos, los siguientes conjuntos de datos relacionados con información presupuestaria:    Presupuestos Municipales 2015    Presupuestos Municipales 2012-2014     Presupuestos Municipales: Ejecución presupuestaria 2011-2014    A la derecha, en documentación asociada, tiene un documento explicativo con la estructura de los campos de los ficheros que se pueden descargar. ";hacienda;Información financiera y presupuestaria,Hacienda,;12/03/2014;23/03/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Bicimad: Alta de usuarios por día y usos por día;" En este conjunto de datos se presenta la información desagregada día a día de:    Usuarios : nuevas altas diarias en el sistema en sus dos modalidades (abonos anuales y ocasionales)   Usos : numero total diario de usos de la bicicleta    Datos desde su puesta en funcionamiento en junio de 2014.  El alquiler de bicicleta pública es un servicio dirigido a todos los ciudadanos y visitantes de la ciudad de Madrid, como elemento alternativo de transporte limpio que contribuye a un modelo de movilidad más sostenible y al fomento de hábitos de transporte más equilibrados y saludables.   Comprende 1.560 bicicletas eléctricas repartidas entre 123 estaciones, algunas de ellas con dos puntos base.   Cada estación se compone del tótem (CIC) que es el centro de interacción con el ciclista y de los anclajes para la colocación de las bicicletas.   A la derecha, en documentación asociada, tiene un plano con las estaciones.  ";transporte;Transportes,;16/04/2015;05/05/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Atención personalizada en Línea Madrid (canal presencial y telefónico);" Se recoge información sobre la atención que se presta a los ciudadanos en el Servicio de Atención Telefónica 010 y en las Oficinas de Atención al Ciudadano.   La fuente de dicha información es el CRM (Customer Relationship Management) una herramienta de front-office que ofrece una solución de gestión orientada al cliente. En el caso de Línea Madrid, está integrado con los sistemas de direccionamiento de los canales y con las aplicaciones informáticas de gestión municipales. Cada actividad o conjunto de actividades de la misma naturaleza realizadas para un único ciudadano en el curso de una misma atención, se recogen en el CRM en una &quot;solicitud de servicio&quot;. ";sector-publico;;05/05/2015;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,
Bibliotecas Municipales: Préstamos Activos. Histórico;" Información relativa a los préstamos en la red de Bibliotecas Municipales, es decir, los ejemplares o materiales prestados.   La información que se proporciona obedece a una serie de fechas fijas. Este conjunto de datos se presenta a efectos estadísticos o de estudios e investigación, no para dar información en tiempo real de los préstamos.   Se facilita información mensual desde octubre de 2014 hasta el mes en curso.  El primer campo del fichero de préstamos activos corresponde con el código de barras del mismo. Con ese código, se puede obtener toda la información asociada en otro conjunto de datos que es el Catálogo de bibliotecas municipales, también disponible en el portal.  En la parte derecha de esta pantalla, puede encontrar el &ldquo;Estructura de fichero de préstamos activos&rdquo;, que contiene la información necesaria para interpretar este conjunto de datos. También se incluyen las tablas auxiliares de codificación de soportes, bibliotecas, ejemplares, lectores, etc. para su correcta decodificación.   A la derecha, en documentación asociada, tiene un documento explicativo con la estructura de los campos de los ficheros que se pueden descargar.  ";cultura-ocio;Cultura y Ocio,;06/03/2015;06/03/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,txt,
Calidad del aire: Estaciones de control;" El Sistema de Vigilancia está formado por 24 Estaciones Remotas automáticas que recogen la información básica para la vigilancia atmosférica. Poseen los analizadores necesarios para la medida correcta de los niveles de gases y de partículas.  Las estaciones remotas son de varios tipos:    Urbanas de fondo : representativas de la exposición de la población urbana en general.   De tráfico : situadas de tal manera que su nivel de contaminación está influido principalmente por las emisiones procedentes de una calle o carretera próxima, pero se ha de evitar que se midan microambientes muy pequeños en sus proximidades.   Suburbana s: están situadas a las afueras de la ciudad, en los lugares donde se encuentran los mayores niveles de ozono.    ";medio-ambiente;;09/04/2015;31/03/2015 00:00;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Policía Municipal: Datos estadísticos actuaciones Policía Municipal;" En este conjunto de datos, se recoge la información de actuaciones de la Policía Municipal de manera mensual. Se muestra información de seguridad ciudadana, seguridad vial, convivencia y agentes tutores. En diferentes pestañas en el Excel hay información de:   Seguridad ciudadana  Detenidos e imputados por motivos  Detenidos e imputados por distritos  Seguridad vial: atestados / partes de accidente confeccionados  Seguridad vial: acciones formativas de educación vial  Seguridad vial: pruebas de alcoholemia  Seguridad vial: detenidos e imputados por pruebas de alcoholemia  Atención ciudadana: expedientes instruidos por las oficinas de atención al ciudadano   Convivencia: intervenciones por protección a los consumidores y usuarios en vía pública   Convivencia: consumo de alcohol en vía pública  Convivencia: inspecciones y actuaciones en locales de espectáculos públicos y actividades recreativas  Agentes tutores  Atención ciudadana: medio ambiente - protección de la fauna. Animales recuperados  Atención ciudadana: medio ambiente - protección de la fauna. Control y denuncias sobre venta, caza y pesca de animales  Tiempos de respuesta: porcentaje de incidentes urgentes realizados con tiempo de llegada menor o igual a 8 minutos desde que el patrulla recibe el aviso  Promedio de patrullas de servicio por día de la semana y turno de trabajo   Se actualiza mensualmente. (cada mes se incorpora el mes correspondiente). ";seguridad;Policía Municipal,;09/04/2015;21/04/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Calidad del aire: Datos en tiempo real;" El Sistema Integral de la Calidad del Aire del Ayuntamiento de Madrid permite conocer en cada momento los niveles de contaminación atmosférica en el municipio.   En este conjunto de datos puede obtener la información actualizada en tiempo real,  actualizándose estos datos cada hora, y esta actualización se realizará entre el minuto 20 al 30.  ";medio-ambiente;;09/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;txt,
Agenda de actividades deportivas;" A continuación se refleja las actividades deportivas que se celebran en la ciudad de Madrid.  Es importante destacar que no se trata de una relación exhaustiva de las actividades que se celebran en la vía publica o en recintos deportivos, sino solamente aquellas actividades que el Ayuntamiento de Madrid conoce y ha incluido en su web municipal:  www.madrid.es   ";deporte;Deportes,;09/04/2015;;diaria;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,rdf,geo,xml,
Tráfico Calle 30: Trabajos planificados en tiempo real;" Trabajos que se van a realizar en Calle 30 y que necesitan de un corte en la vía para realizarse. Se muestran aquellos trabajos que se vayan a realizar desde las 07:00 h. del día actual hasta las 07:00 h. del día siguiente. La información proporcionada para cada trabajo es la siguiente:   Vía en la que se va a realizar el trabajo en formato texto.  Tipo de trabajo a realizar.  Sucesión de puntos en coordenadas definidas mediante el sistema WGS84 que indican el recorrido en el que se tiene permiso para realizar el corte para trabajar.  Color en el que se pinta la sucesión de puntos. Este color depende del tipo de corte a realizar y de su estado.  Tipo de corte.  Estado del corte en el momento (activo / inactivo).  Fecha de inicio y fecha de fin del permiso solicitado.  Expediente proporcionado por la Dirección General de Gestión y Vigilancia de la Circulación (DGGVC) para identificar el permiso de corte. En ocasiones ese campo viene completado con UET (Unidad Especial de Tráfico) e indica que son trabajos en colaboración con esta entidad.   Horario del corte (nocturno / diurno).  La frecuencia de actualización es  cada 5 minutos.   ";transporte;;09/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,
Tráfico Calle 30: Histórico de datos de usuarios que han circulado desde 2013;" Histórico con los  datos día a día  desde el 01/01/2013 hasta la actualidad y que nos muestra la siguiente información:   Usuarios que han circulado ese día por Calle 30.  Vehículos por kilómetro de la totalidad de Calle 30.  Vehículos por kilómetro en ramales de Calle 30.  Velocidad media de los vehículos.  Distancia media recorrida.  Tiempo medio de recorrido.  ";transporte;;16/04/2015;;diaria;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,
Agenda Madrid Activa;" Actividades de la primera parte del Programa &quot; Madrid-activa &quot; en los distritos de la ciudad. Esta programación abarca las actividades  de dinamización y actuaciones desarrolladas en Centros Culturales, calles y plazas de los distritos de febrero a mayo de 2015.  La información recogida en el dataset, mostrará aquellas actividades aún en activo, es decir las que se celebren entre la fecha en curso y el cierre del programa en mayo. ";cultura-ocio;Deportes,;09/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,rdf,geo,xml,
Tráfico Calle 30: Cámaras;" Imágenes de cámaras en Calle 30 tanto en zonas de superficie como en algunas de las entradas a los túneles.   La información que podemos ver da cada una de estas cámaras es la siguiente:   Posición de la cámara definida mediante el sistema WGS84, indicando su latitud y longitud.  Nombre de la cámara identificado por su localización.   URL de la imagen relacionada.  La información (fotografías)  se actualiza cada 10 minutos.  ";transporte;;09/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,
Tráfico Calle 30: Estimaciones de tráfico entre las diferentes entradas y salidas;" Estimaciones de duración de trayectos entre los diferentes puntos de entrada y de salida de Calle 30. La información  se actualiza cada 5 minutos.   Los datos que se pueden ver para cada estimación son los siguientes:   Entrada.  Salida.  Distancia recorrida.  Estimación realizada con el tráfico actual.  Estimación realizada con datos históricos o tráfico habitual.  Estimaciones futuras para dentro de 15, 30, 45 y 60 minutos.  También se proporcionan las diferentes entradas y salidas que existen en Calle 30.";transporte;;09/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,
Tráfico Calle 30: Datos de tráfico y estado del tráfico tiempo real;" Datos generales de tráfico en Calle 30, como son:   Total de vehículos circulando en los túneles.  Total de vehículos circulando en la totalidad de Calle 30 (túneles y superficie).  Velocidad media de los vehículos circulando en los túneles.  Velocidad media de los vehículos circulando fuera de los túneles de Calle 30.  Fecha de actualización de los datos.  Retenciones y tráfico lento detectado en Calle 30.   También se proporciona un fichero donde se representan las retenciones y el tráfico lento en coordenadas mediante el sistema WGS84. Cada sección viene definida por una concatenación de puntos y cada punto viene definido por su latitud y longitud.  La frecuencia de actualización es  cada 5 minutos.   ";transporte;;09/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,
Tráfico Calle 30: Incidencias;" La información  se actualiza cada 5 minutos.   La información que podemos ver de cada una de estas incidencias es la siguiente:   Posición de la incidencia definida mediante el sistema WGS84, indicando su latitud y longitud.  Identificador de la incidencia.  Código de la incidencia según el manual de explotación de Calle 30.  Texto relacionado de la incidencia.  Fecha de cierre si ha sido completada en los últimos minutos.";transporte;;09/04/2015;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,
Madrid Salud: Estadísticas centro de protección animal;"  Actividad del Centro de Protección animal:  Se proporcionan cifras de 2004 a 2014 por tipo de animal, diferenciando tres grupos (perros, gatos y otros):   Número de ingresos   Porcentaje medio de ocupación de las instalaciones  Servicio de recogida de animales  Animales adoptados  Animales esterilizados    Actuaciones sobre poblaciones de gatos urbanos:  Información sobre intervenciones en colonias de gatos (2008-2014):   global de la ciudad   detallada por distritos  ";sociedad-bienestar;;09/04/2015;06/05/2015 00:00;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;
Madrid Salud: Estadísticas de inspecciones realizadas centros estética, aguas recreativas y centros infantiles;" Datos por distritos, desde 2010 a 2014, relativos a inspecciones sanitarias realizadas en distintas instalaciones, agrupadas por programas.   Centros de Estética:  con información de inspecciones realizadas en peluquerías, institutos de belleza y centros de estética, foto depilación, tatuaje, y centros de bronceado   Aguas recreativas:  con información de inspecciones realizadas en piscinas y en balnearios urbanos   Infantiles:  con información de inspecciones realizadas en escuelas infantiles, centros de recreo infantil y centros de cuidado infantil ";sociedad-bienestar;;09/04/2015;06/05/2015 00:00;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;
Madrid Salud: Estadísticas de inspecciones realizadas en seguridad alimentaria y resultados de análisis de muestras;"  Inspecciones sanitarias realizadas en establecimientos de restauración colectiva, comercio minorista, comercio mayorista y transporte de alimentos: d atos por distritos, desde 2010 a 2014,     Restauración colectiva:  Con estadísticas de inspecciones realizadas en comedores escolares e infantiles, comedores de Centros de mayores y resto de comedores colectivos.   Centros minoristas y alimentación:  Con estadísticas de inspecciones realizadas en pescaderías, carnicerías (con o sin obrador), locales de venta de aves, huevos y caza, en panaderías, pastelerías (con o sin obrador), fruterías, heladerías y quioscos de helados y horchatas, locales de alimentación (cma polivalente), locales de platos preparados, herbolarios y resto de actividades.   Inspecciones en transporte alimentario:  Con estadísticas de inspecciones en transporte de catering y  transporte de alimentos en Mercados, Centros Comerciales y Galerías de alimentación.    Inspecciones en Mercamadrid:  Con estadísticas de Inspecciones en establecimientos alimentarios, Auditorías, Controles y Toma de muestras de productos alimenticios.    Muestras analizadas de alimentos y productos alimentarios.     Resultados de los análisis de muestras de agua de grifo:  Información global de la ciudad de Madrid ( 2013 y 2014). Muestras tomadas en viviendas, Canal, colegios, fuentes , establecimientos (bares y cafeterías) por alerta alimentaria.   Resultados de los análisis de muestras de productos alimenticios:  Datos de todas las muestras tomadas de productos alimenticios en 2014.   Número de muestras de productos alimenticios:  Informaciones desagregadas de muestras analizadas por riesgos biológicos, químicos o vinculados a la composición.  ";sociedad-bienestar;Seguridad alimentaria,Salud ambiental,;09/04/2015;06/05/2015 00:00;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
